golden_id,customer_text,golden_intent,predicted_intent,confidence,golden_escalation_expected,actual_decision,draft_reply,intent_error,escalation_false_positive,unsupported_claim_signal,generic_reply_signal,historical_contamination_signal
G098,@GloCare pls i want to remove a no. From glo gifting how do i do that,data_plan_issue,data_plan_issue,0.1506559368387273,no,human,You can remove a shared number by dialing *127*02*[friend’s number]# or sending “Remove [friend’s number]” to 127. Let me know if you need help with the exact number.,False,True,False,False,False
G099,"@GloCare please where can I locate glo office near University of Ibadan environs.
Need to retrieve my lost sim card ASAP. Thanks",sim_or_device_issue,sim_or_device_issue,0.1366956859364528,no,human,"Hello, Ijeoma. The nearest Glo office near University of Ibadan is at Conoil Filling Station, Sango/Eleyele Road, beside Polytechnic South Campus gate, Ibadan. Please visit with a valid ID to retrieve your lost SIM card.",False,True,False,False,False
G100,"@GloCare I rchrgd N500 wt *323*PIN# bt none of my accts ws credited, made 2 kols to 121 yet not credited abt 7hrs now. 08050597950.",recharge_or_airtime_issue,recharge_or_airtime_issue,0.120235525212327,yes,human,"Good morning. To assist you better, could you please share the recharge card serial number? Thank you.",False,False,False,True,False
G101,What are the requirements for retrieving a lost sim @GloCare,sim_or_device_issue,sim_or_device_issue,0.1361544302451053,no,human,"To retrieve a lost SIM, you'll need to visit any Gloworld/Glo Zone outlet with a valid form of ID, at least N100, and either the SIM pack or an affidavit confirming ownership and loss. You'll also need to provide 5 frequently dialed numbers. Could you please share the type of SIM you're referring to (e.g., lost, damaged, or original)? This helps ensure we assist you accurately.",False,True,False,False,False
G102,@GloCare *123*pin#,recharge_or_airtime_issue,non_actionable_or_context_required,0.1437396226442417,yes,human,Please provide your card serial number so we can assist you further. UO,True,False,False,True,False
G103,"@GloCare i went to ur office to change my sim to Nano sim, after presenting my sim n idcard, d lady there said I mst bring an affidavit",sim_or_device_issue,sim_or_device_issue,0.1542925994929305,no,human,You will need an affidavit for SIM replacement as per regulatory requirements. Please contact us for assistance with this process.,False,True,False,False,False
G104,"@GloCare I don't have the Sim pack but, I have a valid ID",sim_or_device_issue,sim_or_device_issue,0.1352747847873753,no,human,Kindly get a sworn affidavit to support your request. Thank you.,False,True,False,False,False
G105,"@GloCare Please, I want to complain about the poor service in my area. If I put on 3G service it shows emergency calls only.  PLEASE HELP!",network_issue,data_plan_issue,0.1248675846398736,yes,human,"We're sorry to hear you're experiencing this issue. To better assist, could you please share your phone number, device type, and location?",True,False,False,True,False
G106,@GloCare Glo charges me 0.24 per secs same network cos I called glo line for 5 secs and was charged 1.2 /5secs =0.24 x60 =N14. 4 per min.,voice_or_line_issue,unauthorized_charge_or_vas,0.1204442968871016,yes,human,"Hello, may we have your number for clarification? Thank you. IQ",True,False,False,False,False
G107,@GloCare Kindly help deactivate auto renewal on my line. I have tried to do so via text messages it wasn't going. My phone no: 08056341036,data_plan_issue,data_plan_issue,0.1246646499504844,no,human,Kindly confirm the service you'd like to deactivate auto renewal for. Thank you.,False,True,False,False,False
G108,"@GloCare Your call cannot be completed at the moment, please try again later",voice_or_line_issue,network_issue,0.1219459947499825,no,human,"Your call cannot be completed at the moment, please try again later. To assist you better, could you please share the number you're trying to call and your line number?",True,True,False,True,False
G109,@GloCare pls my line got blocked while trying to input my code,sim_or_device_issue,data_plan_issue,0.124868789185823,yes,human,"Apologies for the inconvenience. Since SIM block issues are handled by security teams, we recommend calling 121 or visiting Gloworld for assistance. Thank you.",True,False,False,False,False
G110,"@GloCare I don't want messages about recharge to get bonus etc, it comes in every morning and it's really disturbing",unauthorized_charge_or_vas,bonus_or_promotion_issue,0.1205282943202613,no,human,Kindly send STOP to 2442 to stop unsolicited messages about recharges and bonuses. This will help reduce the daily notifications you receive.,True,True,False,False,False
G111,@GloCare I'm having issues recharging my glo line. I need help pls,recharge_or_airtime_issue,data_plan_issue,0.127885406440299,yes,human,Good evening. We apologize for the inconvenience. The issue is being resolved. Please bear with us. FA,True,False,True,False,False
G112,@GloCare I currently do not have sufficient credit to make the call,voice_or_line_issue,recharge_or_airtime_issue,0.1216681413716496,no,human,"We apologize. To assist you better, kindly provide your number, device type, and exact location. This will help us investigate the issue promptly. Thank you.",True,True,False,True,False
G113,"Hello @gloCare 
I don't receive SMS on my line. Please kindly correct",voice_or_line_issue,non_actionable_or_context_required,0.1127212880116215,yes,human,"Try restarting your phone without the SIM, then reinsert the SIM and send a test message to your line. If the issue continues, please reply with your line number so we can assist further.",True,False,False,False,False
G114,@GloCare please kindly deactivate the Auto borrow me on dis line 07057946656 up,recharge_or_airtime_issue,data_plan_issue,0.1330002837165899,no,human,"To deactivate Auto Borrow, please dial *321# and select Auto Borrow. When prompted, reply ""2"" to unsubscribe. You'll receive a confirmation once completed. GM",True,True,False,False,False
G115,@GloCare @215975 Please unsubscribe entertainment factory on my line 0905 585 8471.,unauthorized_charge_or_vas,account_or_general_support,0.1313798807223075,no,human,"Hello, to unsubscribe from Entertainment Factory, please send STOP to 55357. Thank you.",True,True,False,False,False
G116,@GloCare .THIS is sad cause am thinking of changing my line. not fair . What's happening wit ur network .,network_issue,unauthorized_charge_or_vas,0.1368036844968856,yes,human,"We empathize, and we’re aware of the concerns regarding network performance. To better assist you, could you please share the exact issue you're experiencing and your location? SG",True,False,False,False,False
G117,@GloCare u guys wee just be deducting 1s money and if u now call u wee start hearing..u subscribed for certain plans... Issa lie o,unauthorized_charge_or_vas,data_issue,0.1321278052529853,yes,human,May we know how much was deducted and when the deduction was made? Kindly provide your number for assistance. ET.,True,False,False,True,False
G118,"@GloCare 3days old sim wit N400, plus bonus and jumbo. Only about 10mins call. No SMS, no internet. Calculate it",sim_or_device_issue,bonus_or_promotion_issue,0.118720348837144,yes,human,"Hello Oses, kindly provide your mobile number so we can assist you with your sim and bonus usage.",True,False,False,True,False
G119,"@GloCare seems you guys now run shift with a data service I paid for. At night no network, in the morning it shows face.",data_issue,network_issue,0.1435689927036692,yes,human,"We apologize for the inconvenience. To better assist you, could you please share your mobile number and location? FA",True,False,False,True,False
G120,"@GloCare please guys, data browsing just stopped at egbeda/idimu/ikotun area . Alimosho Lagos. Full network bars but no browsing",data_issue,network_issue,0.158197216595384,yes,human,"Work is ongoing to resolve the data browsing issue in Egbeda/Idimu/Ikotun, Alimosho, Lagos. We appreciate your patience while our engineers address it.",True,False,True,False,False
G121,"@GloCare @700705 @117627 Bukuru, Jos. Loss of signal for &gt;6 hours. Tafawa Balewa, Jos. Loss of Internet service. This happens on a daily actually.",network_issue,network_issue,0.1391974181476862,yes,human,"Sincere apologies for the ongoing signal and internet service issues. To better assist you, could you please share your number, device type, exact location with a landmark, and any error messages you've seen?",False,False,False,True,False
G122,@GloCare ur data service at Lagos island is terrible. I can't browse since morning,data_issue,data_issue,0.1350900142284672,yes,human,"We apologize for the poor data service in Lagos Island. To assist you better, may we have your phone number, exact location with landmarks, and how long the issue has been ongoing?",False,False,False,True,False
G123,@GloCare help me check my line 08058011999 i ave megabyte but i pay for internet from the main acct,data_issue,sim_or_device_issue,0.1315470618051096,yes,human,"Ensure you have the correct APN settings: APN - Gloflat, Username - Flat, Password - Flat. Thank you. UO.",True,False,False,False,False
G124,"Good evening guys, so i have been unable to browse properly with my Glo sim since Saturday @GloCare",data_issue,sim_or_device_issue,0.1377363710890258,yes,human,"We apologize for the inconvenience. To assist you better, could you please share your location (with nearest landmark) and phone number?",True,False,False,True,False
G125,"@airtel_care @GloCare Pls what is the cheapest data u have because all like other networks like glo, have 1000 for 3.5gb",data_plan_issue,data_plan_issue,0.1502271464152841,no,human,Please visit to see our latest data plans. UO,False,True,False,False,False
G126,"@GloCare pls no Glo network in OKEMESI ekiti,in ekiti west for d past 9days pls,we want to make call and browse ,find sometin do pls",network_issue,data_plan_issue,0.1392775068752885,yes,human,"We apologize for the inconvenience. To assist you better, could you please provide your mobile number, exact location with landmarks, LGA, issue duration, and device type? This will help us resolve the issue promptly.",True,False,False,True,False
G127,@GloCare glo 09054590520. The last time I sub.  The message I received is that my data expires 2018. Why are yiu deducting my money na.,data_plan_issue,data_issue,0.145655041254835,yes,human,"Hello Sandra, we apologize for the confusion. Your data was exhausted today, and the charge was applied accordingly. For clarity, may we have your number so we can assist further?",True,False,False,False,False
G128,"@GloCare 09056699203, the closest landmark is Royal glory hotel, kasmo area, Osogbo, Osun State, huwei honor 6, pls boost your browsing network,",network_issue,network_issue,0.1781574346469538,yes,human,"Hello, we're aware of your network issue and our team is working on it. For faster assistance, could you please confirm your full location with a clear landmark?",False,False,False,False,False
G129,"@GloCare hey,i need help with my subscription...keeps redirecting me to dial *777# to knw more about data plans",data_plan_issue,data_plan_issue,0.1429697006085835,no,human,"We sincerely apologize for the inconvenience. We are currently undergoing an upgrade and this redirect may be part of that process. Kindly try again later. If the issue persists, we’d appreciate your number and subscription details to assist you further.",False,True,False,True,False
G130,"@GloCare No browsing network for us here, and our data subscription is always like a waste.. 
U can carry out a survey on this.. Form itoki to ifo",data_issue,network_issue,0.142021496281043,yes,human,"Morning, may we know your phone number, exact location with landmarks, and the specific error or issue you're experiencing? This will help us assist you better.",True,False,False,True,False
G131,"@GloCare your network is a disgrace, embarrassing that I subscribe and can't even use my data",data_issue,data_issue,0.1704454945409081,yes,human,"We apologize for the inconvenience. To assist you better, could you please share your phone number and exact location (with landmarks)?",False,False,False,True,False
G132,The worst network you could ever subscribe to its data is @117627 @GloCare @117626. You have data but you can't browse.,data_issue,data_plan_issue,0.1307559983187421,yes,human,"We apologize for the inconvenience. To assist you better, could you please share your phone number, exact location, and device type? This will help us investigate your data experience.",True,False,False,True,False
G133,"@GloCare pls am currently on #1000 3gb, i heard is now  4gb, hope on my next renewal is 4gb that i’ll see not 3gb as initial.",data_plan_issue,data_plan_issue,0.1289932282991812,no,human,"Yes, if you auto-renew within 7 days of expiration, you'll get 4GB. Otherwise, you'll get 1.6GB. Please confirm your renewal timing for clarity. UO",False,True,False,False,False
G134,@117627 @GloCare if u re having network issues inform ur customers. I thought I ve exhausted my bundle not knowing it's ur incompetence.,network_issue,network_issue,0.1253458632925046,yes,human,"Hello, we understand your concern. Could you please clarify the specific network issue you're experiencing? This will help us assist you better. Thank you.",False,False,False,True,False
G135,@GloCare  what is the code to stop getting your entertainment subscriptions finally?I send stop to 55357 only to be subscribed back to it.,unauthorized_charge_or_vas,data_plan_issue,0.1394478213017961,no,human,"Good evening, please text STOP to 55357 and STOP to 2442 to cancel all unsolicited services. If you continue to experience issues, kindly provide your number so we can verify and assist.",True,True,False,True,False
G136,"@GloCare I'm talking of combo for international calling for 1000k subscription check d bal for me *777#,#122*1# isn't showing it nr is 07059646781",data_plan_issue,network_issue,0.1192700213674951,no,human,Could you please confirm when you subscribed to the 1000k combo plan? This will help us assist you better.,True,True,False,True,False
G137,@GloCare It's high time you pple should introduce social bundles/plan...,data_plan_issue,non_actionable_or_context_required,0.1327385299459086,no,human,We appreciate your feedback and will share updates on future plans with our management. Thank you for your input. UO,True,True,False,False,False
G138,@GloCare why am I being asked for a court affidavit to retrieve my registered line?,account_or_general_support,sim_or_device_issue,0.1279098363654981,yes,human,"When a SIM pack is unavailable, a court affidavit confirming ownership and loss of the SIM is required. This is a regulatory requirement. Please let us know if you need assistance with this process.",True,False,False,False,False
G139,@GloCare My number is 08118875122,account_or_general_support,voice_or_line_issue,0.1985695765741968,yes,human,The VAS on your line has been deactivated. You may send STOP to 2442 for full VAS DND.,True,False,False,False,False
G140,"@GloCare When i try making calls the operator replies ""I can't call this number "" I can't call any number at all",voice_or_line_issue,voice_or_line_issue,0.1357752959851707,no,human,Kindly send in your phone number and how long this issue has been occurring.,False,True,False,False,False
G141,@GloCare dailed it and still d same thing here is my number 08074640384,voice_or_line_issue,unauthorized_charge_or_vas,0.1169728625278253,yes,human,"Hello Troy, the bonus has been credited on your line. Please initiate a chargeable service and then dial the code to check again.",True,False,False,False,False
G142,"@GloCare The network is so irritating, I think it’s high time to swap the network",sim_or_device_issue,network_issue,0.1482553623427199,yes,human,"Hello, to better assist you, could you please share your mobile number and a description of the specific network issue you're experiencing?",True,False,False,True,False
G143,"@GloCare @7467 @25740 olorunsogo local govt,igbeti Oyo state,data and voice downtime android device",sim_or_device_issue,data_plan_issue,0.1199990663161237,yes,human,"Hello, we’re aware of the data and voice downtime in Oyo State, specifically in Igbeti Local Government Area. Our network engineers are currently working on resolving this. We appreciate your patience. DA",True,False,False,False,False
G144,@GloCare My credit balance is 100 naira doesn’t show me anything concerning bumpa bonus,bonus_or_promotion_issue,bonus_or_promotion_issue,0.1363492005180595,no,human,"For bumpa bonus, please dial #122*2#. If you need assistance, kindly share your number so we can verify your eligibility. OO",False,True,False,True,False
G145,"@GloCare I thought glo infinito, which I'm currently on, also enjoys the 200% bonus? When did that stop?",bonus_or_promotion_issue,data_plan_issue,0.1250848399766806,no,human,"The 200% bonus applies to the Glo Bumpa package, not Glo Infinito. To enjoy the bonus, you need to migrate to the Glo Bumpa package. Dial *100*10*1# to migrate.",True,True,False,False,False
G146,"@GloCare pls de glo mast in agingi rukuba Rd of bassa LGA of plateau state went off  since a week now and de pple of that community have been in suffering. There is no mtn, 9mobile and airtel services there. Due to the recent killings in de region, it is very dangerous to stay",network_issue,network_issue,0.1501636021360165,yes,human,"We sincerely apologize for the inconvenience. We assure you the issue affecting your location is being prioritized. To better assist you, could you please share your phone number and exact location with landmarks? Thank you.",False,False,False,True,False
G147,"@GloCare @117627 A week now, your network in Iseyin, Oyo State has been ATROCIOUS to put it MILDLY! Disappearing network!!! I guess you just employed Houdini but we subscribers didn't get the memo. Do remember to copy us when it returns! #MediocreGloNetwork @117626",network_issue,network_issue,0.1716399211045382,yes,human,"Sincere apologies for the poor network experience in Iseyin, Oyo State. To assist you better, could you please share your number, device type, exact location with a landmark, and any error messages you've seen?",False,False,False,True,False
G148,"@GloCare I still can't use the internet o. This is frustrating! 
😠😤",data_issue,data_issue,0.1332367271199432,no,human,Please share your number and device details so we can assist you further.,False,True,False,True,False
G149,"@GloCare 08053575663, connection failure, oke-ode, abule-egba, pipeline junction, igoke estate, tecno Y2, can't browse @18561 except  @2688(mile 2)",data_issue,data_issue,0.1246540752040507,yes,human,"Hello Oluboba, we’re aware of the connection issue in your area and have escalated it to our network engineers for urgent resolution. Please stay patient as we work to restore full service.",False,False,False,False,False
G150,@GloCare pls u r deducting 50# from my credit on 08112952225 weekly...pls stop wateva dat is making u deduct it pls immediately...,unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1443215448643351,yes,human,"Hello Mayowa, we apologize for the unauthorized deduction. To assist you, could you please confirm when the deduction was made and the exact amount? This will help us investigate and resolve the issue promptly.",False,False,False,False,False
G151,"@GloCare Again where is my N20?? Recharged 3k, you auto renewed a plan I didn't want and my balance mysteriously went down from N2001 to N1981",unauthorized_charge_or_vas,account_or_general_support,0.1129030743245417,yes,human,"Your auto renewal was cancelled on the 15th, but a plan was renewed on the 14th. Please confirm if this renewal was intended.",True,False,False,False,False
G152,@GloCare Between yesterday and today.... I recharge 500 around after 2,recharge_or_airtime_issue,recharge_or_airtime_issue,0.1226769765132124,yes,human,Your recharge of 500 is recorded. Please confirm if you received the airtime or if there’s an issue with delivery.,False,False,False,False,False
G153,@GloCare I don't appreciate being ignored and I'm losing my patience. what kind of stupid customer service is this?,non_actionable_or_context_required,sim_or_device_issue,0.1297456573764031,yes,human,The issue has been escalated. Please check our latest tweet for updates. Thank you for your patience. UO,True,False,False,False,False
G154,@GloCare I am sincerely disappointed in glo customer service. Would I have lied on that? Even your colleague earlier confirmed it. Check chat history,non_actionable_or_context_required,network_issue,0.125938306048928,yes,human,"We apologize for the frustration this has caused. To better assist you, could you please share the specific issue you're experiencing? This will help us provide a more accurate and timely response. Thank you.",True,False,False,False,False
G155,@GloCare  I haven't gotten any response please,non_actionable_or_context_required,non_actionable_or_context_required,0.1353027056075654,yes,human,"We apologize for the delay in responding. To assist you better, could you please provide your phone number so we can verify your account and assist you promptly?",False,False,False,True,False
G156,@GloCare @117628 @117625 @117626 @117627 @48760 @53205 @7476 This is over 10 times u people have been asking 4my number with conflicting responses frm SO &amp; d likes. 08054117690. U must refund my money.,unauthorized_charge_or_vas,unauthorized_charge_or_vas,0.1407945949237127,yes,human,"We apologize for the frustration this has caused. Our team is reviewing your request for a refund. In the meantime, please verify your account details and the transaction you're referring to, so we can assist you accurately. Thank you for your patience.",False,False,False,False,False
