query,tfidf_result,chroma_result_1,chroma_result_2,chroma_result_3,chroma_id_1,chroma_id_2,chroma_id_3,tfidf_in_chroma_top3
@GloCare Done that. See your dm.,@GloCare Done that. See your dm.,@GloCare Done that. See your dm.,"@GloCare Done that already, since yesterday, check your DM",@GloCare please check your dm.,107475,1735813,2708133,True
@GloCare Please see your dm. It's very important.,@GloCare Please see your dm. It's very important.,@GloCare Please see your dm. It's very important.,@GloCare please check your dm.,@GloCare please check your dm.,107477,2708133,2764098,True
"@GloCare Internet browsing is really really slow. Like it could take a few minutes before I can reply to this tweet
I can make calls but no network to browse even on 3G. That’s just it","@GloCare Internet browsing is really really slow. Like it could take a few minutes before I can reply to this tweet
I can make calls but no network to browse even on 3G. That’s just it","@GloCare Internet browsing is really really slow. Like it could take a few minutes before I can reply to this tweet
I can make calls but no network to browse even on 3G. That’s just it","@glocare please your browsing is too slow,is it network problem or the  phone or may be line am using?",@GloCare The network will be so slow to the extent that I couldn't browse. Thanks for the quick response.,107479,2443719,510149,True
@139872 @139873 @117627 @GloCare 😂,@139872 @139873 @117627 @GloCare 😂,@139872 @139873 @117627 @GloCare 😂,@117627 @GloCare @128805 08052515535,@117627 @GloCare 😎,107481,56586,136632,True
@GloCare Thanks guys,@GloCare Thanks guys,@GloCare Thanks guys,@GloCare Thanks,@GloCare Thanks,107487,280557,1422188,True
"@GloCare evening how can migrate to bumper from jumbo?, ×200# not working and I don't mind d 100 charges","@GloCare evening how can migrate to bumper from jumbo?, ×200# not working and I don't mind d 100 charges","@GloCare evening how can migrate to bumper from jumbo?, ×200# not working and I don't mind d 100 charges","@GloCare good morning, I need to change my tariff plan to Glo Bumper, pls help","@GloCare hi, i need to migrate my sim to any of your tariff that allow me spend less on calls. Just got a new jumbo sim card nd the call charges is just so annoying. Help please.",107489,29891,2152499,True
@GloCare It's been a nice six year plus with you but I can't be running round Lagos and Ogun state searching for non existent 4G sim card,@GloCare It's been a nice six year plus with you but I can't be running round Lagos and Ogun state searching for non existent 4G sim card,@GloCare It's been a nice six year plus with you but I can't be running round Lagos and Ogun state searching for non existent 4G sim card,"@GloCare Hi please where can I get a 4g sim around Yaba/Palmgrove, Lagos today???

Was at your s/lere office earlier this week they didn't have,  Sabo office under lock and key","@117627 @GloCare Please i want to purchase a new Glo sim as per the cheap data plan.
Whats the coverage of 4G network in Lagos???",107491,140589,2585203,True
"@Glocare, with your bad 3G service, I've been willing to switch to 4G but where are the Sims????","@Glocare, with your bad 3G service, I've been willing to switch to 4G but where are the Sims????","@Glocare, with your bad 3G service, I've been willing to switch to 4G but where are the Sims????",@GloCare Upgrading to 4g sim... is the sim only meant for 4g? Or switch to 3g if I'm in a no 4g coverage area?,@GloCare @117627 All your 4gLte SIMs can't connect mobile data here! Do something!,107493,2726214,2274551,True
@117627 @GloCare 😂😂😂😂😂 Please I have called 121 million times today which I think all they need asking me is the Serial no. I found out that all your guys their are not competent enough to help me with this. They ask me to go to the office that they are unable to help. 😂,@117627 @GloCare 😂😂😂😂😂 Please I have called 121 million times today which I think all they need asking me is the Serial no. I found out that all your guys their are not competent enough to help me with this. They ask me to go to the office that they are unable to help. 😂,@117627 @GloCare 😂😂😂😂😂 Please I have called 121 million times today which I think all they need asking me is the Serial no. I found out that all your guys their are not competent enough to help me with this. They ask me to go to the office that they are unable to help. 😂,"@117627 @53686 @GloCare, Don't tell me to contact ur customer care, I've done so countlessly. I have provided my #. Just resolve it.","@117627 @53686 @GloCare, Don't tell me to contact ur customer care, I've done so countlessly. I have provided my #. Just resolve it.",107495,1613032,1613032,True
"@GloCare you network is the best when it comes to bonuses,data &amp; call rates but for months, your 3G service has been worse than ever","@GloCare you network is the best when it comes to bonuses,data &amp; call rates but for months, your 3G service has been worse than ever","@GloCare you network is the best when it comes to bonuses,data &amp; call rates but for months, your 3G service has been worse than ever",@GloCare Your 3g network here in my area is frustrating.,@GloCare @117627 Glo today is making it 3wks of not having 3G service or a good quality network coverage &amp; you guys are still working on it ...SHAME ON YOU !,107500,2231303,1692386,True
@117627 @GloCare Thanks. ..I appreciate.,@117627 @GloCare Thanks. ..I appreciate.,@117627 @GloCare Thanks. ..I appreciate.,@117627 @GloCare Thanks.,@117627 @GloCare Thank you,107502,2452483,2560006,True
"@GloCare @117627 please upgrade your internet network at RCC, transekulu Enugu. It's either on ""edge"" or it's on 3G but on a veerrrry slow speed. Quite frustrating 😅 😅 😅","@GloCare @117627 please upgrade your internet network at RCC, transekulu Enugu. It's either on ""edge"" or it's on 3G but on a veerrrry slow speed. Quite frustrating 😅 😅 😅","@GloCare @117627 please upgrade your internet network at RCC, transekulu Enugu. It's either on ""edge"" or it's on 3G but on a veerrrry slow speed. Quite frustrating 😅 😅 😅","@GloCare Good Morning, pls ur network at Aiyetoro-Ijanikin is OK but the speed is quite very slow for 3G Network and it's not flowing","@GloCare 08112818609, tecno k9 plus, IMO Estate ajaokuta kogi state, no error message the 3g service is not stable since yesterday but 2g is stable and slow in browsing. Thank you.",107515,209541,2837438,True
"@GloCare ofcos I understood that from the onset, it was a glo line I called,. My no. is there, you guys should check it out. 08118101301","@GloCare ofcos I understood that from the onset, it was a glo line I called,. My no. is there, you guys should check it out. 08118101301","@GloCare ofcos I understood that from the onset, it was a glo line I called,. My no. is there, you guys should check it out. 08118101301","@GloCare hi what could be the cause of a glo number saying ""this glo line is busy"" perpetually, anytime someone calls it",@GloCare The said line is 08079668500,111178,1639731,1553138,True
@GloCare definitely  here it is 0705 623 6347 and this one 07055955638,@GloCare definitely  here it is 0705 623 6347 and this one 07055955638,@GloCare definitely  here it is 0705 623 6347 and this one 07055955638,@GloCare Here is the number 08077256043,@GloCare Here's the number. 08059424107.,111177,770412,938980,True
"@GloCare u see exactly wat I'm talkin about? Unduly deductin my airtime wasn't difficult, resolving the issue now requires an upgrade huh?","@GloCare u see exactly wat I'm talkin about? Unduly deductin my airtime wasn't difficult, resolving the issue now requires an upgrade huh?","@GloCare u see exactly wat I'm talkin about? Unduly deductin my airtime wasn't difficult, resolving the issue now requires an upgrade huh?",@GloCare so it takes a whole year for you guys to fix your system issues Abi....... Stop deducting my airtime,"@GloCare U haven't resolve my earlier issue, now u're deductin my airtime for browsin altho  i have data? What's going on here",111180,2737235,383223,True
"@GloCare  my no is 08118101301
I had a bonus of #2500 on my Jumbo Sim, and #500 as my main balance, made a 20 mins call on my to a glo line","@GloCare  my no is 08118101301
I had a bonus of #2500 on my Jumbo Sim, and #500 as my main balance, made a 20 mins call on my to a glo line","@GloCare  my no is 08118101301
I had a bonus of #2500 on my Jumbo Sim, and #500 as my main balance, made a 20 mins call on my to a glo line","@GloCare was given 5000 bonus on my jumbo sim today but I can't use it, why?","@GloCare hi, i have over 2000naira on ny glo jumbo bonus but cant be used.... what's wrong? 09054346108 is my number",111183,640431,2788455,True
"Dear @117627 @GloCare thank you for the increment of data cap. I pledge to stay on your network till i launched my telecommunication service... 😃
 So help me Lord!!! 🙏","Dear @117627 @GloCare thank you for the increment of data cap. I pledge to stay on your network till i launched my telecommunication service... 😃
 So help me Lord!!! 🙏","Dear @117627 @GloCare thank you for the increment of data cap. I pledge to stay on your network till i launched my telecommunication service... 😃
 So help me Lord!!! 🙏",@GloCare Glo u are stupid. Mad network. Wat kind of service u render to ur customer.always renew my data where as I don't sub. 080549910154,"@117627 @GloCare Thank God I can now use my data to browse, I pray it last long becos ur network is not always stable, might start any moment from now.",111185,2812727,2668202,True
@GloCare SORRY ! you have reached the maximum extensions for your current plan. Kindly wait for it to expire. That's the reply I get,@GloCare SORRY ! you have reached the maximum extensions for your current plan. Kindly wait for it to expire. That's the reply I get,@GloCare SORRY ! you have reached the maximum extensions for your current plan. Kindly wait for it to expire. That's the reply I get,"@GloCare hello... please am trying to renew my subscription and it's coming up with this reply ""Sorry, you can not extend your plan anymore"". Why?",@GloCare SORRY!Insufficient credit balance for the plan you want to buy.Please recharge your line or you can simply Borrow Data.,112431,107439,959204,True
@GloCare I can't top up my data 08157803688... Please subscribe the 500 plan for me,@GloCare I can't top up my data 08157803688... Please subscribe the 500 plan for me,@GloCare I can't top up my data 08157803688... Please subscribe the 500 plan for me,"@GloCare hello guys, I can't subscribe for data plans on my line. Kindly assist. 08154131832. Monthly plan","@GloCare I have been having issues subscribing to a data plan, please you guys should resolve the issue asap",112433,276381,1371074,True
"@GloCare Hello, why hasn't the service been fixed? I haven't been able to communicate ALL DAY!","@GloCare Hello, why hasn't the service been fixed? I haven't been able to communicate ALL DAY!","@GloCare Hello, why hasn't the service been fixed? I haven't been able to communicate ALL DAY!",@GloCare It's not working yet oooo.. No service at all its annoying,@GloCare I haven't been able to make or receive calls and use data..what is happening to the service ?,114272,2159629,351390,True
@GloCare cydm,@GloCare cydm,@GloCare cydm,@GloCare  please cydm,@GloCare Tnx,114274,1734930,628557,True
@GloCare I loaded 300 through bank. I received SMS from 202 that 300 has been credited into my account but when I checked my balance it was the same,@GloCare I loaded 300 through bank. I received SMS from 202 that 300 has been credited into my account but when I checked my balance it was the same,@GloCare I loaded 300 through bank. I received SMS from 202 that 300 has been credited into my account but when I checked my balance it was the same,@117627 @GloCare This was not reflected in my account. So check my call log and balance and see for yourself. Thank you,@117627 @GloCare This is not reflected in my balance. I  have not made call or send sms with my glo line since the incidence. So look through my account. Tnx,117800,1746658,1746671,True
@GloCare I have been complaining that my money was deducted for no Reason you guys promised to rectify it but I don't know how. This is my number. I was charged 100 three times for changing to bumpa service.,@GloCare I have been complaining that my money was deducted for no Reason you guys promised to rectify it but I don't know how. This is my number. I was charged 100 three times for changing to bumpa service.,@GloCare I have been complaining that my money was deducted for no Reason you guys promised to rectify it but I don't know how. This is my number. I was charged 100 three times for changing to bumpa service.,"@GloCare  150naira was deducted just now from my line I WANT A REFUND, complaint number 07055651774",@GloCare please refund money deducted from my line 09055635732 for no reason,117803,700265,784698,True
@GloCare 07055010019,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare 07055010019,@GloCare 08055011914,@GloCare 08055000103,117802,2092860,1056459,False
@GloCare what is the code you dial to confirm your number from your phone? Revert pls. Tnx,@GloCare what is the code you dial to confirm your number from your phone? Revert pls. Tnx,@GloCare what is the code you dial to confirm your number from your phone? Revert pls. Tnx,@GloCare what is the code to confirm glo number from the phone? Kindly revert. Tnx,@GloCare which code should I dial to confirm phone numbers sharing data with me....reply asap pls,117807,117814,1046203,True
@GloCare what is the code for prepaid plan of 0.11k per second? Are there other cheaper tariff of glo? Kindly revert.,@GloCare what is the code for prepaid plan of 0.11k per second? Are there other cheaper tariff of glo? Kindly revert.,@GloCare what is the code for prepaid plan of 0.11k per second? Are there other cheaper tariff of glo? Kindly revert.,@GloCare What is the code for the 11k/s tariff plan?,@GloCare kindly send codes to access Glo prepaid packages to me,117806,1516697,2409916,True
@GloCare I'm still waiting for my airtime refund. Check your DM for more details,@GloCare I'm still waiting for my airtime refund. Check your DM for more details,@GloCare I'm still waiting for my airtime refund. Check your DM for more details,@GloCare Kindly refund my airtime too...  Thank you,"@GloCare Sent, now my airtime which got deducted has to be refunded immediately.",117810,112428,2893692,True
@GloCare How do I check my data balance? *127*0# and *777# haven't been going through since last night,@GloCare How do I check my data balance? *127*0# and *777# haven't been going through since last night,@GloCare How do I check my data balance? *127*0# and *777# haven't been going through since last night,"@GloCare I can't check my data balance through *127*0#, *777# and sending INFO to 127. Kindly tell me my data balance. Number on DM.",@GloCare please how do i check my data balance,117812,686047,2059021,True
@GloCare what is the code to confirm glo number from the phone? Kindly revert. Tnx,@GloCare what is the code to confirm glo number from the phone? Kindly revert. Tnx,@GloCare what is the code to confirm glo number from the phone? Kindly revert. Tnx,@GloCare what is the code you dial to confirm your number from your phone? Revert pls. Tnx,"@GloCare hello, what code do I dial to know my Glo phone number?",117814,117807,1054709,True
@GloCare Where is your closest office to Iwo Road Ibadan ?,@GloCare Where is your closest office to Iwo Road Ibadan ?,@GloCare Where is your closest office to Iwo Road Ibadan ?,"@GloCare Location: Ibadan, in Ibadan north east LG ( agugu area), 09058827655",@GloCare my no is 08071036363 my location is Apata Ibadan Oyo state.urgent help is needed.,117816,2616177,2651157,True
"@glocare You think is me you are doing,Launch 4GLTE in Ibadan you cannot...Issorait","@glocare You think is me you are doing,Launch 4GLTE in Ibadan you cannot...Issorait","@glocare You think is me you are doing,Launch 4GLTE in Ibadan you cannot...Issorait","@GloCare  Hello, I just wanna ask when you're going to launch your 4g network in Ibadan. This 3g is nonsense.",@117627 @GloCare do you have 4g service in Ibadan?,117818,315442,1732052,True
@GloCare  hey good evening my sis loaded a 500 hundred card money was deducted for BMC that she didn't do ..  500 was deducted twice,@GloCare  hey good evening my sis loaded a 500 hundred card money was deducted for BMC that she didn't do ..  500 was deducted twice,@GloCare  hey good evening my sis loaded a 500 hundred card money was deducted for BMC that she didn't do ..  500 was deducted twice,@GloCare My money has deducted to 190. From N500,"@GloCare  08057737914. This is bad for a customer care to tell me she can't view my account. But glo can deducted my 1,000 card. Unfair",117821,209631,524804,True
@GloCare Check your DM please,@GloCare Check your DM please,@GloCare Check your DM please,@GloCare Please check your dm,@GloCare  please check your DM please,117820,2190250,2556945,True
"@117627 @GloCare Dude I just subscribed NOW, 23/11/2017, 
1000 data plan 
I was suppose to have 4GB plus my 3GB = 7GB 
I still have an active plan so I should have 2x of my current subscription which should be 8GB plus 3 =11
I’m not talking about the one I recharged in October 
Thank you","@117627 @GloCare Dude I just subscribed NOW, 23/11/2017, 
1000 data plan 
I was suppose to have 4GB plus my 3GB = 7GB 
I still have an active plan so I should have 2x of my current subscription which should be 8GB plus 3 =11
I’m not talking about the one I recharged in October 
Thank you","@117627 @GloCare Dude I just subscribed NOW, 23/11/2017, 
1000 data plan 
I was suppose to have 4GB plus my 3GB = 7GB 
I still have an active plan so I should have 2x of my current subscription which should be 8GB plus 3 =11
I’m not talking about the one I recharged in October 
Thank you",@GloCare I need my remaining data. I subscribed for 4gb you only gave me 2gb. 09050963923. You did the same thing last week,"@GloCare I subscribed to ₦2,500 monthly data but unfortunately didn't get the 12GB advertised because it was my first subscription, now I want to know if I'll  get the 30GB if I now subscribe to the ₦5,000 data plan before the expiration of my current plan ie ₦2,500 plan",120098,529862,2834586,True
"@GloCare @117627 If I was given 7.23GB + ‘my previous 3G I should have 10G and what’s the explanation for 7.23gb I was suppose to have 8GB for 1k cos I have active subscription, why 7GB I don’t understand","@GloCare @117627 If I was given 7.23GB + ‘my previous 3G I should have 10G and what’s the explanation for 7.23gb I was suppose to have 8GB for 1k cos I have active subscription, why 7GB I don’t understand","@GloCare @117627 If I was given 7.23GB + ‘my previous 3G I should have 10G and what’s the explanation for 7.23gb I was suppose to have 8GB for 1k cos I have active subscription, why 7GB I don’t understand",@GloCare I subscribe for glo 1000 subscription it supposed to 3.6gb or so but am only given just 1.6gb,@GloCare That means I won't be given 7gb or how will I do it to get 7gb,120097,1424855,1077389,True
"@117627 @GloCare Man, I’m not talking about the 20GB, read man I don’t want to use wrong words, I’m talking about the one I just sub for now not before, I was supposed to have 8GB for subscribing before my due date","@117627 @GloCare Man, I’m not talking about the 20GB, read man I don’t want to use wrong words, I’m talking about the one I just sub for now not before, I was supposed to have 8GB for subscribing before my due date","@117627 @GloCare Man, I’m not talking about the 20GB, read man I don’t want to use wrong words, I’m talking about the one I just sub for now not before, I was supposed to have 8GB for subscribing before my due date",@GloCare @117627 5gb instead of 10 for each sub?,"@GloCare I have just subscibed for N2,500 which is due auto renewal 2morrow on 08071361143 but was given 5GB instead of 12GB.hlp",120102,1424868,2032270,True
"@GloCare @117627 There’s no bonus data anymore ? When you sub b4 due time, ?","@GloCare @117627 There’s no bonus data anymore ? When you sub b4 due time, ?","@GloCare @117627 There’s no bonus data anymore ? When you sub b4 due time, ?","@GloCare my data bonus haven't been added since afternoon,kindly check 07056916519",@GloCare did data sub this morning for 2500 and the bonus did not reflect. Sort this out and give me my complete data. My no  0815 524 2395 https://t.co/c3n2j3MoMo,120104,1424874,2983256,True
@117627 @GloCare https://t.co/m0bZXXtTuZ,@117627 @GloCare https://t.co/m0bZXXtTuZ,@117627 @GloCare https://t.co/m0bZXXtTuZ,@GloCare @117627  https://t.co/0PGkUjRXln,@GloCare @117627  https://t.co/dnbaSpfxdh,120112,853050,1120056,True
@GloCare @139868 You could have made very clear,@GloCare @139868 You could have made very clear,@GloCare @139868 You could have made very clear,@GloCare @255855 Now you are talking,@GloCare @117627 Certainly 07057325074,120115,2443715,2406210,True
@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,@GloCare u give sending me sms dat my network signal issues has being resolved I said u deducted money 08055451220 work on this pls,"@GloCare please i have been having network issues on my line, not able to make or receive calls, use data, sms phone no: 08050610789",@GloCare Pls kindly do something on this line the network is so poor and bad can't even use the internet. 09059293195,120114,2156637,2651017,True
"@139868 @GloCare Glo is very unfortunate That you are giving the information on your templates, I subscribe for 250mb for 200 I was credited with 100mb. Too bad for network. 08152622001","@139868 @GloCare Glo is very unfortunate That you are giving the information on your templates, I subscribe for 250mb for 200 I was credited with 100mb. Too bad for network. 08152622001","@139868 @GloCare Glo is very unfortunate That you are giving the information on your templates, I subscribe for 250mb for 200 I was credited with 100mb. Too bad for network. 08152622001",@GloCare Was given just 800mb,Hi @GloCare I subscribed for #200 data which is suppose to be 250mb. I only got 100mb. Why?,107463,2812729,2697510,True
@GloCare Honestly this will be my last subscription on my glo line.. I can't even Google or upload my nysc camp pics here in Lagos.. It's a shame and so embarrassing.,@GloCare Honestly this will be my last subscription on my glo line.. I can't even Google or upload my nysc camp pics here in Lagos.. It's a shame and so embarrassing.,@GloCare Honestly this will be my last subscription on my glo line.. I can't even Google or upload my nysc camp pics here in Lagos.. It's a shame and so embarrassing.,"@GloCare Like to know what's happening with your glo mast here in Niger Delta University Amassoma Bayelsa State. For some days now I have not been able to use my glo line for anything. The annoying thing is that, I subscribe for a plan that is just going without being used. Pls..",@GloCare My number 08150204124 and my mom's 09054411847..... We are faithful Glo users.. Pls cancel all subscriptions except our monthly data sub.,120121,2330475,304479,True
@GloCare 08050204124,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare 08050204124,@GloCare 08073885502,@GloCare 08050980590,120120,2419696,2840635,False
@GloCare  abeg make una help me refresh this una network abeg,@GloCare  abeg make una help me refresh this una network abeg,@GloCare  abeg make una help me refresh this una network abeg,@glocare please if I don offend una make una know vex abeg help me stabilize my network abeg,@GloCare I haven't had network all morning. Abeg fix it,120125,674694,1632769,True
"@GloCare my sim card has not been browsing for two weeks now,I called your customer care service twice but the solution they gave was not helpful.","@GloCare my sim card has not been browsing for two weeks now,I called your customer care service twice but the solution they gave was not helpful.","@GloCare my sim card has not been browsing for two weeks now,I called your customer care service twice but the solution they gave was not helpful.","@GloCare I don't know what is wrong with my sim, it goes out of network coverage every hour. I have to keep restarting my phone.","@GloCare It doesn't work on this either, I've tried every means, should I just get rid of the Sim or what? Cos I know is not the device issue.",120128,2785230,2616174,True
@GloCare 07059227434,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare 07059227434,@GloCare 07051597475,@GloCare 07054809732,120127,2208800,2334988,False
"@GloCare Despite my response, the issue was closed -  Ref: GLO 1-4919975617 request has been resolved. Am extremely disappointed with this feedback, the DATA NETWORK IS EXTREMELY POOR AND NON EXISTENCE at this location, kindly help","@GloCare Despite my response, the issue was closed -  Ref: GLO 1-4919975617 request has been resolved. Am extremely disappointed with this feedback, the DATA NETWORK IS EXTREMELY POOR AND NON EXISTENCE at this location, kindly help","@GloCare Despite my response, the issue was closed -  Ref: GLO 1-4919975617 request has been resolved. Am extremely disappointed with this feedback, the DATA NETWORK IS EXTREMELY POOR AND NON EXISTENCE at this location, kindly help","@GloCare Good morning team, is there an update as regard the complain. The data network is POOR AND ALWAYS NOT AVAILABLE at this location. Kindly help",@GloCare @117627 The data network is down,65458,65462,2669543,True
"@GloCare pls no Glo network in OKEMESI ekiti,in ekiti west again,the network has gone 3days ago,we were unable to call out,,pls check","@GloCare pls no Glo network in OKEMESI ekiti,in ekiti west again,the network has gone 3days ago,we were unable to call out,,pls check","@GloCare pls no Glo network in OKEMESI ekiti,in ekiti west again,the network has gone 3days ago,we were unable to call out,,pls check","@GloCare almost a week now,no Glo network is my town,OKEMESI ekiti,in ekiti west,pls we we're unable to browse or call,,,,do sometin oo","@GloCare pls help us to restore glo network in OKEMESI -ekiti, In ekiti west,... No network for d past 2 days ooo.",127256,2810040,526061,True
@GloCare I was not charged based on call deductions where made for service I NevA subd for glo news even after I called 2 cancel it returned,@GloCare I was not charged based on call deductions where made for service I NevA subd for glo news even after I called 2 cancel it returned,@GloCare I was not charged based on call deductions where made for service I NevA subd for glo news even after I called 2 cancel it returned,@GloCare #100 was deducted for callertune service I Neva subscribed to. 07054432423 is my nomba..do somtin abt ur services,"@GloCare please after u claim you've help me to cancel all services on my line I still got deducted without making call, sending text or use internet",127259,1884591,312955,True
@GloCare @139868 Please your network is down here since ystrday morning ova here in kwara state. No network to call or do anything.,@GloCare @139868 Please your network is down here since ystrday morning ova here in kwara state. No network to call or do anything.,@GloCare @139868 Please your network is down here since ystrday morning ova here in kwara state. No network to call or do anything.,"@GloCare @139868 Omu aran, kwara state. It is not only me. No glo network signal since ystrday morning.","@117627 @glocare Hello Team, there's no network signal since yesterday in Igboora, ibarapa central LG, OYO STATE
08052210941.",127258,127261,1921401,True
"@GloCare @139868 Omu aran, kwara state. It is not only me. No glo network signal since ystrday morning.","@GloCare @139868 Omu aran, kwara state. It is not only me. No glo network signal since ystrday morning.","@GloCare @139868 Omu aran, kwara state. It is not only me. No glo network signal since ystrday morning.","@117627 @glocare Hello Team, there's no network signal since yesterday in Igboora, ibarapa central LG, OYO STATE
08052210941.","@GloCare please what is happening, for days now no Glo network in my area (Jega,  kebbi state)",127261,1921401,2172644,True
@GloCare @144578 08055451220 u keep asking of details I hope u are not fooling me or trying to cos.!! Cc @117626,@GloCare @144578 08055451220 u keep asking of details I hope u are not fooling me or trying to cos.!! Cc @117626,@GloCare @144578 08055451220 u keep asking of details I hope u are not fooling me or trying to cos.!! Cc @117626,@GloCare @117627 08052430951,@GloCare 08055563197,127263,658671,65470,True
@GloCare you have failed to reply my tweet I've been charged wrongly &amp; u guys are not addressing it 08055451220 that's my number,@GloCare you have failed to reply my tweet I've been charged wrongly &amp; u guys are not addressing it 08055451220 that's my number,@GloCare you have failed to reply my tweet I've been charged wrongly &amp; u guys are not addressing it 08055451220 that's my number,@GloCare you have failed to reply my tweet I've been charged wrongly &amp; u guys are not addressing it 08055451220 that's my number,@GloCare you have charged me wrongly and I have called your customer care several times and still yet you still charge me wrongly pls take the right step this is my number:08114328517,107456,107456,136625,True
"@GloCare please what is the problem with your network at Obio Akpa campus of the Akwa Ibom State University, there is no network .","@GloCare please what is the problem with your network at Obio Akpa campus of the Akwa Ibom State University, there is no network .","@GloCare please what is the problem with your network at Obio Akpa campus of the Akwa Ibom State University, there is no network .","@GloCare No network at all around Ibafo, oremeji area of Ogun state since two days ago, kindy help in that regard. U guys are wonderful","@GloCare pls, we don't have network since yesterday around ado-odo ota LGA, Ogun state. Help us rectify whatever the issue is. Thanks",127267,2534354,2538074,True
@GloCare 07063025122,@GloCare  a feast for glo collecting tat funds as if I don't know wat to do wit money please delete all unnecessary things I didnt subscribe,@GloCare 07063025122,@GloCare 08074025522,@GloCare 07059835151,129463,2622276,725187,False
@GloCare november 22nd,@GloCare november 22nd,@GloCare november 22nd,@GloCare 24th of November 2017,@GloCare 18th October 2017,129462,734483,1855617,True
@GloCare the way my credit is disappearing unanounced and unexplained is horrible,@GloCare the way my credit is disappearing unanounced and unexplained is horrible,@GloCare the way my credit is disappearing unanounced and unexplained is horrible,"@GloCare 08052940665, they clear my credit all the time, why this madness",@GloCare when ever I  browse I received notification from my credit,129466,236563,1114481,True
@airtel_care @GloCare @airtel_care pls stop data auto renewal on this line 08032519624. Una done chop my money finish.,@airtel_care @GloCare @airtel_care pls stop data auto renewal on this line 08032519624. Una done chop my money finish.,@airtel_care @GloCare @airtel_care pls stop data auto renewal on this line 08032519624. Una done chop my money finish.,@GloCare kindly cancel automatic data renewal on my line 08114493325.It is highly annoying how u guys just deduct money after sending cancel,"@GloCare Help me stop daily data auto renewal on my line. Please, check DM. Thanks.",134234,803725,1677719,True
"@140961 @GloCare Very nonsense network we have in the country,same with @airtel_care n d rest of them","@140961 @GloCare Very nonsense network we have in the country,same with @airtel_care n d rest of them","@140961 @GloCare Very nonsense network we have in the country,same with @airtel_care n d rest of them","@140961 @GloCare Very nonsense network we have in the country,same with @airtel_care n d rest of them","@484832 @122461 @airtel_care @GloCare I blame them my brother, if they can't give us proper service they should forget it",112423,112423,1572827,True
"@airtel_care @GloCare Pls what is the cheapest data u have because all like other networks like glo, have 1000 for 3.5gb","@airtel_care @GloCare Pls what is the cheapest data u have because all like other networks like glo, have 1000 for 3.5gb","@airtel_care @GloCare Pls what is the cheapest data u have because all like other networks like glo, have 1000 for 3.5gb",@201381 @117627 @GloCare 3.2g for 1k and u can't even view pictures.... Airtel free data mode,@GloCare @134709 @airtel_care @117627. pls tell me more about Data revolution that has just been introduced. 1000 naira to give 4G,134239,422641,84896,True
@GloCare I bought a 4g glo SIM and it's not showing network when ever I put it on 4g help me please this is my number https://t.co/tqDBinMMCX,@GloCare I bought a 4g glo SIM and it's not showing network when ever I put it on 4g help me please this is my number https://t.co/tqDBinMMCX,@GloCare I bought a 4g glo SIM and it's not showing network when ever I put it on 4g help me please this is my number https://t.co/tqDBinMMCX,@GloCare Good day! Please how can activate my sim card on 4G network? Thanks,@GloCare am still unable to access 4g network on my mobile phone and have got a glo 4g sìm card,134510,1921589,1439742,True
@GloCare Thanks,@GloCare Thanks,@GloCare Thanks,@GloCare Thanks,@GloCare Thanks,383217,1341528,2766728,True
@GloCare Nna the thing no work oh,@GloCare Nna the thing no work oh,@GloCare Nna the thing no work oh,@GloCare I tried that... Nothing still,@GloCare okay i will try that now,134512,381904,2388760,True
@GloCare I have restated my device and it's not still working,@GloCare I have restated my device and it's not still working,@GloCare I have restated my device and it's not still working,@GloCare its back now everything is working thanks,@GloCare i have.  Its still not working,134509,381916,381920,True
"@GloCare Location: ojodu Lagos 
Device Tecno Camon CX air https://t.co/Ds3MqGqM4U","@GloCare Location: ojodu Lagos 
Device Tecno Camon CX air https://t.co/Ds3MqGqM4U","@GloCare Location: ojodu Lagos 
Device Tecno Camon CX air https://t.co/Ds3MqGqM4U","@GloCare Tecno Camon C8, Lagos OJO, Can't use the internet.","@GloCare Number: DM
Device Type: Camon C9
Location: Okokomaiko ojo local government.
Landmark: Joachim muoghalu street, Ade-Topmost Nigeria Limited. 
It does not connect at all.",134515,2092942,2092892,True
@GloCare Exact location : Yakoyo ojodu barger,@GloCare Exact location : Yakoyo ojodu barger,@GloCare Exact location : Yakoyo ojodu barger,"@GloCare location: ago amodu, saki East local government area of oyo state","@117627 @GloCare Oyo state, ibarapa central LG",134517,1371017,1518988,True
"@GloCare 
My airtime keeps ""disappearing"" it has gone on for too long.
I didn't subscribe to any service that isn't my monthly sub.","@GloCare 
My airtime keeps ""disappearing"" it has gone on for too long.
I didn't subscribe to any service that isn't my monthly sub.","@GloCare 
My airtime keeps ""disappearing"" it has gone on for too long.
I didn't subscribe to any service that isn't my monthly sub.",@GloCare please I want to know why my airtime keeps disappearing without subscribing to anything. I want a refund,@GloCare Glo please attend to my problem. I haven't been able to subscribe for three days now even though I have sufficient airtime.,134521,1091429,684231,True
